release 1.3 | Y2JB 1.3 (deprecated) | 2026-05-25
release 1.5 | Y2JB 1.5 (deprecated) | 2026-05-22
release 1.6 | Y2JB 1.6 | 2026-06-09
release 2 | Y2JB-P2JB V2 | 2026-05-22
release 2.0 | BD-JB5 2.0 | 2026-08-04
release 2.1 | Y2JB-P2JB V2.1 | 2026-05-22
release 2.2 | Y2JB-P2JB V2.2 | 2026-05-23
release 2.3 | Y2JB-P2JB V2.3 | 2026-05-24
release 2.4 | Y2JB-P2JB V2.4 | 2026-05-24
release 2.5 | Y2JB-P2JB V2.5 | 2026-05-25
repo EchoStretch/ps4-permanent-uart | Payload to enable permanent hardware based UART on the PlayStation 4 
repo EchoStretch/ps4-pup-decrypt | Payload to decrypt the contents of a firmware update file (PUP) on the PlayStation 4
repo EchoStretch/ps4-restore | Payload to restore that data saved by the 'Backup' payload on the PlayStation 4
repo EchoStretch/ps4-rif-renamer | Payload to standardize RIF license file names on the PlayStation 4
repo EchoStretch/ps4-todex | Payload to spoof the target ID on the PlayStation 4
repo EchoStretch/ps4debug | PlayStation 4 Debugger
repo EchoStretch/ps4jb-payloads | Extracted payloads from the main repo
repo EchoStretch/ps4jb2 | 
repo EchoStretch/ps5-app-dumper | 
repo EchoStretch/ps5-bdjb-modified-ISOs | Modified ISOs
repo EchoStretch/ps5-hen | A Homebrew Enabler (HEN) for PS5 supporting firmware 1.00 to 4.51, based on an HV exploit chain.
repo EchoStretch/ps5-linux-loader | Linux payload implementing HV exploits to run a custom bootloader
repo EchoStretch/ps5-payload-sdk | 
repo EchoStretch/ps5-pup-decrypt | ps5 pup decrypt by asking nicely ps5 to do it. 
repo EchoStretch/ps5Spoofer | PS5 Spoofer
repo EchoStretch/ps5debug-NG | PS5 debugger payload — userland TCP wire-protocol server hosted inside SceShellCore. GPL-3.
repo EchoStretch/remote_lua_loader | 
repo EchoStretch/umtx2 | A webkit-based kernel exploit and jailbreak for PS5
repo Gezine/ArtemisLuaLoader | Run arbitrary lua script from savedata
repo Gezine/BD-JB5 | BD-JB for PS5
repo Gezine/Luac0re | Luac0re is a mast1c0re variation that uses Lua scripting for easier exploit development.
repo Gezine/PS4-P3Rfix | PS4 Persona 3 Reload patch file that enables 60fps and disables motion blur.
repo Gezine/Y2JB | Y2JB is userland code execution using PS5 Youtube app
repo Gezine/dump_installer | 
repo Gezine/edk2-SMT733 | EDK2 for Samsung Galaxy Tab S7 FE Wifi model Based on SDM778G(SM7325)
repo Gezine/elfldr | 
repo Gezine/ftpsrv | A simple FTP server for jailbroken PS4s and PS5s
repo Gezine/kexp | payload that does post jailbreak related stuff 
repo Gezine/remote_lua_loader | 
repo Gezine/sdk | An SDK for PS5 payloads that uses dynamic linking
repo Gezine/sdk-ps4 | 
repo IkpemosiArnold/ps5-price-tracker | 
repo JDigitalsRental/JDigitalsRental | JDigitalsRental PS5 Game Rental Website
repo KryoMod/Atlas-Catalog-Scraper | Scrapes dlpsgame for exfat game variations and superpsx for all variations, outputting a merged json file for use with Atlas PS5 Pipeline.
repo KytyPS5/KytyPS5 | PlayStation 5 emulator for Windows, Linux and MacOS
repo Mohamedgawad1/PS5-COMPLETION-PLATFORM | COMPLETION PROGRESS 
repo Naivelk/ps5Plus | 
repo OpenProspero/AGC | OpenProspero-owned clean-room PS5 GPU driver; host validation and firmware-gated hardware bring-up
repo OzRviju/bagagwa-exploit | Bagagwa Multi Chain Exploit - PS5 aio_multi_wait UAF
repo Tracko-ps5/tracko-ps5 | 
repo actuaryarticulatorysystem2752/apr-emu-updater | Manage APR Emu versions per PS5 game via a simple web UI, overriding libSceAmpr.sprx at runtime without editing game images.
repo boykopovar/AnyPS5 | Convert PS5 executables to run natively on Linux and Windows
repo caressanoisy333/sharpemu | Emulate PlayStation 5 software on Windows, Linux, and macOS with this experimental emulator written in C#.
repo chrispham-cyber/Playstation-5-Landing-Page | Cloning landing page based on original Playstation site operating Bootstrap.
repo crimnsx-alt/cr1mnsx | cr1mnsx — PS5, Souls-like & Twitch (PS3 XMB theme)
repo dante0747/gamebeeper.gg | All the games worth watching. One signal. — a fast, open-source video game news aggregator.
repo discoverable-rhomboidmuscle244/exFAT-Ripper | Manage your PS5 exFAT library with this desktop launcher. Browse game covers, track PPSA codes, and update your collection using an automated background scraper.
repo duc609363-ai/COM108-PS51227-PhamHuuDuc | 
repo ecmstudio/Gamepad-Bridge-Core | Gamepad-Core Host Pro API 2026: Native C++ Gamepad Bridge Library
repo guiaraujog27-lab/Nome-robo-ps5 | 
repo gulo3236/ps5-pkg-manager | Manage and install PlayStation 5 packages from USB or SMB shares with a clean web interface supporting multi-part packages.
repo iStark/PS5PCEM | PS5 PC Emulator
repo itsPLK/ps5-payloads-mirror | 
repo itsPLK/ps5-pkg-manager | A clean and intuitive package manager for PS5
repo joey247-dot/ps5-date-time-sync | Restore your PS5's system date and time via public NTP servers when the CMOS battery fails.
repo kadiga1984sa-max/subnautica-2-ps5-early-build-explorer | Subnautica 2 PS5 Port Leaks & Early Access 2026 Guide
repo knutwurst/ps5-ffpfsc-ultra | macOS app to build PS5 fPKG (.pkg) and .ffpfsc containers from any source — game folder, archive, or disk image. Pack, unpack, browse a .pkg block-by-block, patch, fake-sign. Verified launching on ret
repo mahmutaunal/KonsolLink | PlayStation ve Xbox için Türkiye odaklı, macOS üzerinde çalışan yerel Discord bağlantı çözümü.
repo mihawk-99/PS5_RetroArch | 🎮 RetroArch Homebrew for the PS5 that supports Dolphin, PPSSPP, FBNeo, mGBA and more.
repo mihawk-99/PS5_Vulkan | Vulkan 1.0+ implementation for PS5 homebrew, translating Vulkan workloads to the PS5 GPU. Vulkan 1.3/1.4 support planned.
repo mpereiraesaa/ps5-vulkan | Experimental Vulkan graphics and compute API for native PlayStation 5 homebrew (gfx1013).
repo murilex07/chiaki-rust | Stream PS5/PS4 remote play to Windows x64 with a native Rust GPU pipeline, NVIDIA VSR upscaling, and OBS virtual camera support.
repo netdroppro1/pkg-stream-delivery | Fastest PS5 Homebrew & App Transfer Tool 2026: No Slow Waits
repo nexgen999/PS5-Super-PLDMGR-Auto-Updater | PS5 Super PLDMGR Auto Updater
repo oBinds/ps5-tracker | 
repo paypal35661/PS5547 | 
repo prathviindusanalytics-netizen/Hollow-Viewer | PS5 Game Mod Studio and Cheat File Manager 2026
repo robvestibular692/retro-chiaki | Stream PS4 and PS5 games to Anbernic H700 handhelds via remote play.
repo sHarK-ps/PS5PayloadManagerUpdater | PS5 Payloads automatically updated from different repos
repo samuelevans921/elden-ring | Top Elden Ring Gameplay Enhancement Suite 2026: ESP & No Recoil
repo senxppp/ds-unlock | 飞智八爪鱼5 DS模式解锁 Flydigi APEX 5 DS Mode Unlock｜DualSense 模拟 · 自适应扳机 Adaptive Triggers · 飞智空间站 Flydigi Space Station · 赛博朋克2077 Cyberpunk 2077 进程诱饵 Process Decoy · 明日方舟：终末地 Arknights: Endfield 可用 · PS5 手柄
repo titusajongbah2014-alt/spectral-veil | Ultimate PS5 & PS4 Cheat Database Tool 2026 – Game Trainer Hub
repo ursaaustenitic585/DS4Windows | Connect PlayStation controllers to your PC for gaming on Windows 10 and 11. Emulate Xbox 360 controllers for full game compatibility and custom input settings.
repo zainalibutt/River | Multiplayer Texas Hold'em for friend groups - PC browser + PS5 couch play.
repo zawazaraz/GTA-6-PS5-Emulator-Play-On-PC-2026 | Play GTA 6 on PC with the PS5 emulator for Windows 10/11. Download the 2026 working version and start playing now.
